;Method;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;CLA80C
;Analyte;Al2O3;CaO;Cr2O3;Fe2O3;K2O;MgO;MnO;Na2O;P2O5;SiO2;TiO2;LOI;Sum;Ba;Be;Cs;Ga;Hf;Nb;Rb;Sn;Sr;Ta;Th;U;W;Y;Zr;Ag;Au;As;Bi;Cd;Co;Cu;Hg;Mo;Ni;Pb;Sb;Se;Zn;Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb;FeO
;Unit;%;%;%;%;%;%;%;%;%;%;%;%;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%
MA-R-122 - (IBX-412);ROCHA;0,11;28,94;<0.01;0,06;<0.01;21,21;<0.01;0,03;0,06;0,72;<0.01;46,03;97,14;16;0,3;<0.05;<0.1;0,08;0,28;5,3;<0.3;40,8;<0.05;2;0,4;1,4;0,86;2,8;0,04;<0.1;<1;<0.02;0,01;0,7;2,7;<0.01;<0.05;10,9;1,5;<0.05;<1;4;1,7;0,14;0,22;0,11;0,22;0,05;1;<0.05;0,7;0,4;0,2;0,11;0,06;0,1;0,14
MA-R-123A - (IBX-413);ROCHA;6,5;0,08;<0.01;73,75;1,2;0,04;0,03;0,01;0,1;15,92;0,35;1,44;99,43;415;1,2;0,59;8,5;2,37;10,18;51,4;3,9;182;0,74;7,2;0,67;<0.1;17,79;65,6;0,07;<0.1;4;0,1;<0.01;1,1;5,8;<0.01;0,82;3,2;8;0,16;<1;<1;45,1;5,47;1,71;3,08;16,08;0,72;23,6;0,4;44,3;8,11;12,4;1,51;0,29;1,9;0,28
MA-R-123B - (IBX-414);ROCHA;1,4;0,56;<0.01;13,66;3,42;0,49;>10;0,59;0,3;1,36;0,13;9,31;98,14;619;0,4;1,98;25,5;0,77;3,7;70,1;0,7;4128;0,26;2;0,17;0,7;18,21;29,9;0,2;<0.1;5;<0.02;0,27;374,5;30,5;0,02;3,18;37,2;2,1;0,43;<1;39;23,1;2,41;1,6;0,3;2,8;0,53;16,4;0,46;15,9;3,95;2,7;0,36;0,33;2,4;1,56
MA-R-124 - (IBX-415);ROCHA;12,49;0,16;<0.01;5,39;5,52;0,81;0,08;1,1;0,06;74,64;0,57;1,27;102,09;1028;1,6;8,41;17,5;4,11;9,45;176;2,1;81,7;0,9;6,8;0,94;5,6;37,57;151;0,03;<0.1;<1;0,06;<0.01;11;49,5;<0.01;0,21;21,4;4,3;<0.05;<1;27;69;6,24;3,91;0,88;6,34;1,29;36,8;1,32;31,1;8,03;6,6;0,94;0,57;3,5;0,64
MA-R-125 - (IBX-416);ROCHA;2,72;24,13;<0.01;1,21;0,75;18,91;0,12;0,02;0,05;7,76;0,11;40,87;96,64;61;0,7;0,98;3,4;0,59;2,12;21,8;4,1;77,4;0,17;2,6;0,77;<0.1;10,52;17,9;0,02;<0.1;<1;<0.02;0,25;4,3;6;<0.01;0,08;13,9;3;<0.05;<1;17;16,1;1,56;0,83;0,28;1,84;0,32;10,1;0,42;9,4;2,41;2;0,25;0,14;0,8;0,14
MA-R-126A - (IBX-417);ROCHA;0,22;29,44;<0.01;0,26;0,03;21,5;0,1;<0.01;0,07;2,36;0,01;45,15;99,14;22;0,7;<0.05;5,2;<0.05;0,38;5;<0.3;66,1;<0.05;2,4;0,68;1,9;3,49;3,3;0,05;<0.1;<1;<0.02;0,55;1,4;4,8;<0.01;0,11;15,8;2,6;0,17;<1;9;4,7;0,44;0,35;0,18;0,5;0,16;4;0,06;2,2;0,71;0,4;0,13;0,08;0,2;0,14
MA-R-126B - (IBX-418);ROCHA;0,21;29,05;<0.01;0,35;0,03;21,5;0,11;<0.01;0,06;3,38;0,02;44,79;99,5;22;0,5;<0.05;2,6;<0.05;0,38;5,2;<0.3;69,3;<0.05;1;0,79;1,8;3,27;4,9;0,04;<0.1;<1;<0.02;0,49;1,6;4,5;0,01;4,54;14,6;2,4;0,06;<1;9;3,1;0,28;0,29;0,06;0,79;0,19;4,7;0,08;1,6;0,5;0,2;0,11;0,06;0,2;0,14
MA-R-126C - (IBX-419);ROCHA;0,18;28,09;<0.01;0,22;0,03;21,16;0,08;<0.01;0,04;4,79;0,01;44,25;98,87;20;0,2;<0.05;1,4;<0.05;0,5;6,1;1,2;71,7;<0.05;3,1;0,62;1,9;3,2;3,6;0,1;<0.1;<1;0,15;0,6;1,1;3,1;0,14;0,33;12,6;2,1;0,19;1;8;5,5;0,45;0,31;0,18;0,53;0,14;3,7;0,08;1,4;0,54;0,2;0,13;0,06;0,2;0,21
MA-R-126D - (IBX-420);ROCHA;0,17;28,98;<0.01;0,22;0,03;21,46;0,07;<0.01;0,04;2,47;0,01;45,19;98,65;16;0,6;<0.05;1;<0.05;0,49;4,4;3,7;60;<0.05;0,8;0,86;1,4;1,99;3,6;0,03;<0.1;<1;<0.02;0,51;1,1;3,5;0,05;13,8;11,2;2,3;0,06;<1;9;0,9;0,2;0,13;0,07;0,16;0,07;1;<0.05;0,8;0,26;<0.1;0,08;<0.05;0,1;<0.14
MA-R-126E - (IBX-421);ROCHA;17,95;4,28;<0.01;6,86;5,04;3,71;0,1;0,59;0,1;51,08;0,83;8,82;99,38;538;2,2;8,14;23,6;4,59;15,54;188;4,2;125;1,09;16,5;2,41;7,1;52,55;168;0,05;<0.1;2;0,38;0,09;16,9;50,8;<0.01;0,45;28,7;13,2;0,19;<1;57;83,6;7,74;4,25;1,51;8,46;1,55;45,6;1,07;45,2;11,46;8,5;1,26;0,68;4,4;0,64
