;;Method;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A
;;Analyte;Umido;Seco;Cont massa B;Passante;Retido;Granul 2mm;Entrada Pu;Saida Pu;Controle Massa Pu;Retido 150;Granulometria_150;Al2O3;Ba;CaO;Cr2O3;Fe2O3;K2O;MgO;MnO;Na2O;Nb;P2O5;SiO2;Sr;TiO2;Y;Zn;Zr;LOI;Sum;Ag;Ce;Co;Cs;Cu;Dy;Er;Eu;Ga;Gd;Hf;Ho;La;Lu;Mo;Nb;Nd;Ni;Pr;Rb;Sm;Sn;Ta;Tb;Th;Tl;Tm;U;V;W;Yb
;;Unit;g;g;%;g;g;%;g;g;%;g;%;%;ppm;%;%;%;%;%;%;%;ppm;%;%;ppm;%;ppm;ppm;ppm;%;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
;;MDL;0;0;0;0;0;0;0;0;0;0;0;0,01;10;0,01;0,01;0,01;0,01;0,01;0,01;0,01;10;0,01;0,01;10;0,01;10;5;10;0,01;0,01;1;0,1;0,5;0,05;5;0,05;0,05;0,05;0,1;0,05;0,05;0,05;0,1;0,05;2;0,05;0,1;5;0,05;0,2;0,1;0,3;0,05;0,05;0,1;0,5;0,05;0,05;5;0,1;0,1
VC-R-070;ICC0478;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,36;20;52,33;<0.01;0,11;0,16;0,91;<0.01;0,03;<10;0,03;1,07;2476;0,02;<10;6;<10;42,76;97,78;<1;4,5;0,6;<0.05;5;0,36;0,2;<0.05;<0.1;<0.05;0,16;<0.05;7,5;0,22;<2;<0.05;2,3;15;0,18;2;0,3;<0.3;<0.05;<0.05;0,3;<0.5;<0.05;0,74;26;<0.1;<0.1
VC-R-071;ICC0479;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,23;21;30,84;<0.01;0,17;0,07;20,56;0,02;0,06;<10;0,01;1,18;138;0,01;<10;<5;<10;46,04;99,2;<1;3,7;0,6;<0.05;<5;0,15;0,21;<0.05;<0.1;<0.05;0,06;<0.05;5,8;0,26;<2;<0.05;1,8;14;0,08;<0.2;<0.1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;1,03;26;<0.1;<0.1
VC-R-072;ICC0480;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;11,47;459;0,14;<0.01;9,44;1,73;0,55;0,04;0,06;<10;<0.01;66,84;14;1,37;13;19;260;3,58;95,22;<1;31,1;6,5;3,51;24;2,78;1,96;<0.05;18,6;1,6;5,51;0,42;19,6;0,53;<2;2,08;10,5;36;2,27;70,6;1,7;<0.3;<0.05;0,15;4;<0.5;0,17;1,77;168;<0.1;1,9
VC-R-073;ICC0481;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;18,36;300;0,06;0,01;7,75;6,9;2,57;0,02;0,06;13;<0.01;63;11;1,03;22;96;297;4,2;103,96;<1;32,2;11,5;5,8;31;4,02;2,43;1,29;29,5;3,51;6,65;0,9;60,4;0,8;10;13,49;25,7;64;9,24;245,9;4,7;3,2;3,51;0,88;8,8;1;0,39;3,29;110;4;2,3
VC-R-074;ICC0482;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,21;10;31,06;<0.01;0,18;0,1;21,21;0,02;0,05;<10;<0.01;0,57;161;0,02;<10;93;<10;46,45;99,87;<1;3,6;0,8;<0.05;<5;0,26;0,26;<0.05;<0.1;<0.05;0,43;<0.05;5,7;0,28;<2;<0.05;2,1;12;0,47;3,9;0,3;<0.3;<0.05;<0.05;1,4;<0.5;<0.05;0,66;10;<0.1;<0.1
VC-R-075;ICC0483;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,27;15;31,63;<0.01;0,42;0,1;19,35;0,02;0,06;<10;0,02;1,52;236;0,02;<10;<5;<10;45,38;98,79;<1;5,9;57,1;<0.05;5;0,8;0,46;<0.05;0,2;0,63;0,11;<0.05;6,2;0,25;<2;<0.05;2,8;36;0,34;2,7;0,7;<0.3;<0.05;<0.05;0,5;<0.5;<0.05;1,01;13;<0.1;<0.1
VC-R-076;ICC0484;ROCHA;1740;1740;99,14;1530;195;11,3;315;295;93,65;1;0,34;0,26;<10;33,27;<0.01;0,19;0,08;18,77;<0.01;0,06;<10;0,02;1,77;270;0,02;<10;<5;12;45,49;99,93;<1;4,2;0,8;<0.05;7;0,35;0,24;<0.05;<0.1;<0.05;0,13;<0.05;7,3;0,22;<2;<0.05;1,8;17;0,12;1,2;0,2;<0.3;<0.05;<0.05;0,3;<0.5;<0.05;1,14;24;<0.1;<0.1
VC-R-077;ICC0485;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,08;<10;55,32;<0.01;0,14;0,04;1,21;<0.01;0,06;<10;0,04;0,35;822;0,01;<10;<5;<10;42,85;100,11;<1;2,9;0,7;<0.05;6;0,1;0,14;<0.05;<0.1;<0.05;0,14;<0.05;6,9;0,24;<2;<0.05;1,3;21;<0.05;<0.2;<0.1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,99;40;<0.1;<0.1
VC-R-078-A;ICC0486;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,06;<10;56,16;<0.01;0,06;0,05;0,24;<0.01;0,04;<10;0,04;0,28;3604;<0.01;<10;<5;<10;42,85;99,78;<1;1;<0.5;<0.05;6;<0.05;0,09;<0.05;<0.1;<0.05;<0.05;<0.05;3;0,24;<2;<0.05;0,2;13;<0.05;<0.2;<0.1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,75;14;<0.1;<0.1
BRANCO_PREP;;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,03;<10;0,06;<0.01;1,17;0,01;0,03;0,01;0,03;<10;<0.01;>90;17;<0.01;<10;<5;<10;0,1;101,16;<1;1,5;0,8;<0.05;<5;<0.05;<0.05;<0.05;<0.1;<0.05;<0.05;<0.05;3,9;0,28;<2;<0.05;0,7;<5;<0.05;<0.2;<0.1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;<0.05;<5;<0.1;<0.1
VC-R-078-B;ICC0487;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,04;<10;55,68;<0.01;0,02;0,03;0,23;<0.01;0,04;<10;0,05;0,33;3787;<0.01;<10;<5;<10;42,77;99,19;<1;1,4;0,7;<0.05;8;<0.05;0,08;<0.05;<0.1;<0.05;<0.05;<0.05;2,6;0,22;<2;<0.05;0,2;14;<0.05;<0.2;<0.1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,6;18;<0.1;<0.1
VC-R-079;ICC0488;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,03;<10;55,32;<0.01;0,03;0,02;0,28;<0.01;0,02;<10;0,05;0,17;2481;<0.01;<10;<5;<10;42,69;98,64;<1;2,2;<0.5;<0.05;5;<0.05;<0.05;<0.05;<0.1;<0.05;<0.05;<0.05;6,2;0,22;<2;<0.05;0,5;15;<0.05;<0.2;<0.1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,57;20;<0.1;<0.1
VC-R-080;ICC0489;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,03;<10;59,58;<0.01;0,07;0,02;0,12;<0.01;0,09;<10;0,04;0,16;3757;<0.01;<10;<5;<10;42,74;102,88;<1;2,2;0,7;<0.05;11;0,28;0,12;<0.05;<0.1;<0.05;<0.05;<0.05;6,4;0,14;<2;<0.05;0,6;23;<0.05;<0.2;<0.1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,65;53;<0.1;<0.1
VC-R-081;ICC0490;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,06;<10;56,68;<0.01;0,03;0,03;0,83;<0.01;0,05;<10;0,05;0,32;1109;<0.01;<10;<5;<10;42,74;100,79;<1;1,1;<0.5;<0.05;6;0,08;0,06;<0.05;<0.1;<0.05;<0.05;<0.05;3,2;0,25;<2;<0.05;0,7;17;<0.05;<0.2;<0.1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,58;26;<0.1;<0.1
VC-R-082;ICC0491;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,23;60;33,53;<0.01;0,29;0,08;20,42;0,02;0,06;<10;0,07;1,03;351;<0.01;<10;7;<10;45,78;101,53;<1;2,9;0,5;<0.05;5;0,53;0,42;<0.05;0,1;0,06;<0.05;<0.05;2,6;0,27;<2;<0.05;1,8;10;<0.05;<0.2;0,3;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,36;9;<0.1;0,2
VC-R-083;ICC0492;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,5;31;32,17;<0.01;0,23;0,19;20,43;0,01;0,08;<10;0,04;1,84;190;0,03;<10;<5;11;45,66;101,17;<1;4,4;1,6;<0.05;7;0,46;0,24;<0.05;0,6;0,13;<0.05;<0.05;7,4;0,33;<2;<0.05;2,6;23;0,22;2,7;<0.1;0,4;<0.05;<0.05;<0.1;<0.5;<0.05;2,69;73;<0.1;<0.1
VC-R-084;ICC0493;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,19;20;32,31;<0.01;0,21;0,07;21,27;0,01;0,05;<10;0,13;0,55;166;0,01;<10;<5;<10;46,23;101,03;<1;2,1;102,3;<0.05;7;0,22;0,11;<0.05;<0.1;<0.05;<0.05;<0.05;3,3;0,26;<2;<0.05;1;65;<0.05;<0.2;0,3;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,46;31;<0.1;<0.1
VC-R-085;ICC0494;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,32;18;33,45;<0.01;0,14;0,12;18,83;<0.01;0,04;<10;0,02;1,26;218;0,02;<10;<5;14;45,66;99,87;<1;3,1;0,5;<0.05;6;0,14;0,06;<0.05;0,5;<0.05;<0.05;<0.05;6;0,24;<2;<0.05;1,3;11;<0.05;<0.2;0,1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,94;18;<0.1;<0.1
VC-R-086;ICC0495;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,05;<10;31,27;<0.01;0,01;0,03;21,04;<0.01;0,05;<10;0,1;0,18;126;<0.01;<10;<5;<10;46,42;99,15;<1;0,8;<0.5;<0.05;<5;0,11;0,21;<0.05;<0.1;<0.05;<0.05;<0.05;2,4;0,27;<2;<0.05;0,4;15;<0.05;<0.2;<0.1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,99;12;<0.1;<0.1
VC-R-087-A;ICC0496;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;24,11;666;0,05;0,01;8,85;3,54;1,27;0,03;0,05;<10;0,02;55,92;26;1,03;41;46;336;7,76;102,66;<1;71,5;9,6;11,08;34;7,26;4,11;1,25;40,4;6,55;6,75;1,21;56,6;0,77;<2;10,64;43,2;40;10,38;225,9;7,3;<0.3;<0.05;0,92;8,4;0,9;0,47;3,66;113;<0.1;3,8
VC-R-087-B;ICC0497;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;3,92;18;0,06;<0.01;3,02;0,13;0,09;0,01;0,02;<10;<0.01;>90;<10;0,18;<10;9;243;1,38;99,33;<1;9,5;1,2;0,34;11;0,96;0,48;<0.05;5,5;0,48;4,82;<0.05;9,6;0,3;<2;<0.05;4,6;15;1,13;8,2;0,9;<0.3;<0.05;<0.05;2,5;<0.5;<0.05;1,03;29;<0.1;0,4
VC-R-088;ICC0498;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,42;21;29,13;<0.01;0,24;0,18;20,13;<0.01;0,03;<10;0,05;9,33;56;0,02;<10;6;<10;42,26;101,8;<1;5,3;0,7;<0.05;7;0,36;0,18;0,12;0,5;0,63;0,14;<0.05;6,3;0,4;6;1,09;2,7;12;0,79;7;0,4;1,6;1,7;<0.05;0,2;<0.5;<0.05;0,55;34;4,7;<0.1
VC-R-089;ICC0499;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;18,83;502;0,03;0,01;5,65;5,64;1,49;0,01;0,08;18;0,03;64,98;108;1,08;50;36;314;4,54;102,4;<1;79,3;2,9;7,57;18;8,57;5,19;1,5;23,6;8,03;6,29;1,54;60,9;1,04;5;18,14;45,9;35;12,81;173,9;9,1;4,4;4,16;1,14;8,7;0,6;0,72;3,16;128;7,5;4,7
Pulp Duplicates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VC-R-088;ICC0498;REP;--;--;--;--;--;--;--;--;--;--;--;0,42;23;27,99;<0.01;0,28;0,22;19,27;<0.01;0,04;<10;0,05;9,22;58;0,03;<10;<5;18;42,26;99,8;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
VC-R-078-B;ICC0487;REP;--;--;--;--;--;--;--;--;--;--;--;0,06;<10;56,73;<0.01;0,02;0,02;0,23;<0.01;0,02;<10;0,06;0,32;3831;<0.01;<10;<5;<10;42,77;100,23;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
BRANCO_PREP;;REP;--;--;--;--;--;--;--;--;--;--;--;0,04;<10;0,06;<0.01;1,08;<0.01;<0.01;0,01;0,03;<10;<0.01;>90;<10;<0.01;<10;7;<10;0,1;101,35;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
BRANCO_PREP;;REP;--;--;--;--;--;--;--;--;--;--;--;<0.01;<10;0,05;<0.01;1,78;<0.01;<0.01;0,02;0,05;<10;<0.01;>90;<10;<0.01;<10;<5;<10;0,2;98,63;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
VC-R-039;ICC0446;REP;--;--;--;--;--;--;--;--;--;--;--;0,03;<10;29,2;<0.01;0,03;0,02;19,99;<0.01;0,05;<10;0,02;2,5;45;<0.01;<10;53;<10;45,4;97,26;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
VC-R-088;ICC0498;REP;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;<1;5,3;0,8;<0.05;5;0,38;0,18;<0.05;0,4;0,58;0,15;<0.05;6,7;0,3;4;1,27;2,9;17;0,93;7,9;0,5;1,7;1,51;<0.05;0,2;<0.5;<0.05;0,63;31;4,5;0,2
VC-R-078-B;ICC0487;REP;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;<1;1,2;<0.5;<0.05;<5;<0.05;0,08;<0.05;0,1;<0.05;<0.05;<0.05;2,8;0,19;<2;<0.05;0,3;11;<0.05;<0.2;<0.1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,62;10;<0.1;<0.1
BRANCO_PREP;;REP;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;<1;1,5;0,7;<0.05;<5;<0.05;<0.05;<0.05;<0.1;<0.05;<0.05;<0.05;3,9;0,14;<2;<0.05;0,6;<5;0,2;<0.2;0,1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;<0.05;<5;<0.1;<0.1
BRANCO_PREP;;REP;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;<1;1,1;1,4;<0.05;<5;<0.05;<0.05;<0.05;0,7;<0.05;<0.05;<0.05;4,1;<0.05;<2;<0.05;0,2;<5;<0.05;<0.2;<0.1;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;<0.05;<5;<0.1;<0.1
VC-R-039;ICC0446;REP;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;<1;2,1;<0.5;<0.05;6;0,11;0,11;<0.05;0,8;<0.05;<0.05;<0.05;7,5;<0.05;<2;<0.05;0,9;25;<0.05;<0.2;0,2;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,22;35;<0.1;<0.1
VC-R-076;ICC0484;DUP;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,25;10;33,81;<0.01;0,2;0,09;18,78;<0.01;0,05;<10;0,02;1,78;271;0,02;<10;<5;17;45,41;100,42;<1;4,3;0,5;<0.05;7;0,3;0,28;<0.05;<0.1;<0.05;0,16;<0.05;6,5;0,2;<2;<0.05;1,9;19;0,13;0,9;0,1;<0.3;<0.05;<0.05;0,2;<0.5;<0.05;1,24;23;<0.1;<0.1
VC-R-057;ICC0464;DUP;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,12;<10;52,62;<0.01;0,09;0,06;0,96;<0.01;0,02;<10;<0.01;0,7;1511;0,01;<10;<5;<10;43,27;97,86;<1;3,5;1;<0.05;8;0,08;<0.05;<0.05;<0.1;<0.05;<0.05;<0.05;5,2;0,2;<2;<0.05;1;27;<0.05;<0.2;0,3;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,62;27;<0.1;<0.1
VC-R-038;ICC0445;DUP;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,05;<10;55,33;<0.01;0,06;<0.01;0,41;<0.01;0,03;<10;0,05;0,53;749;0,01;<10;8;<10;42,47;98,95;<1;5,2;<0.5;0,06;<5;0,37;0,06;<0.05;<0.1;0,65;<0.05;<0.05;10,9;<0.05;<2;<0.05;1,9;20;0,55;<0.2;0,1;1,9;<0.05;<0.05;<0.1;<0.5;<0.05;0,59;46;<0.1;<0.1
VC-R-016-A;ICC0425;DUP;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;1,04;121;42,84;<0.01;0,46;0,27;4,03;0,02;0,04;<10;0,08;7,98;65;0,06;<10;<5;26;40,78;97,61;<1;11,1;3,5;0,53;7;0,99;0,46;0,11;1,1;1,07;0,23;0,17;12;0,13;<2;<0.05;6;26;1,47;9,6;1;<0.3;<0.05;0,11;0,5;<0.5;<0.05;0,34;70;<0.1;0,3
Reference Materials;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TILL-3;;STD;--;--;--;--;--;--;--;--;--;--;--;12;472;2,63;0,02;3,79;2,41;1,66;0,07;2,72;15;0,11;68,16;309;0,47;13;53;222;N.A.;N.A.;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
GBM997-2;;STD;--;--;--;--;--;--;--;--;--;--;--;18,53;276;0,1;0,01;6,71;0,81;0,29;0,05;0,06;<10;0,01;53,44;16;0,78;17;29;235;N.A.;N.A.;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
TILL-2;;STD;--;--;--;--;--;--;--;--;--;--;--;15,9;523;1,33;0,01;5,53;3,06;1,74;0,1;2,22;23;0,17;60,14;157;0,88;36;125;397;N.A.;N.A.;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
TILL-3;;STD;--;--;--;--;--;--;--;--;--;--;--;12,38;486;2,68;0,02;4,09;2,5;1,69;0,07;2,71;<10;0,11;69,46;324;0,49;12;48;235;N.A.;N.A.;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
GBM997-2;;STD;--;--;--;--;--;--;--;--;--;--;--;21,97;312;0,05;0,01;7,96;0,94;0,33;0,05;0,11;15;<0.01;62,56;15;0,93;18;32;285;N.A.;N.A.;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
TILL-3;;STD;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;<1;40,8;17;1,58;32;3,56;1,43;0,51;30;3,1;4,7;0,4;20,4;0,3;2;7,08;22,1;45;5,79;52,9;3,6;<0.3;<0.05;0,42;4,7;<0.5;0,11;1,83;68;<0.1;1,5
GBM997-2;;STD;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;<1;66,8;12,3;2,91;790;4,4;2,39;1,29;30,3;4,32;5,15;0,68;39,9;0,36;7;1,95;27,9;50;7,24;40,3;5,6;<0.3;<0.05;0,46;8,3;<0.5;0,2;3,24;96;<0.1;2,2
TILL-2;;STD;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;<1;95,4;14,8;9,93;166;7,13;4,06;0,79;22,3;6,73;11,37;1,14;44,6;0,63;8;19,35;39,3;31;10,58;149,3;7,9;0,5;1,97;0,98;18,9;0,9;0,42;5,1;79;4,5;3,6
TILL-3;;STD;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;<1;39,4;14,2;1,6;30;2,65;1,49;0,42;17,6;1,84;4,36;0,21;22,1;0,28;3;7,11;15,9;47;3,86;52,1;3,5;<0.3;<0.05;0,17;5;<0.5;0,08;2,01;46;<0.1;1,1
GBM997-2;;STD;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;<1;65,4;11,1;3,22;691;4,12;2,6;1,29;27;4,06;5,71;0,67;35;0,71;18;7,2;28,1;42;6,9;43,2;6,2;<0.3;1,95;0,39;11,2;<0.5;0,28;3,69;120;11,2;2,2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
