;;Method;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;PREP_GY;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A
;;Analyte;Umido;Seco;Cont massa B;Passante;Retido;Granul 2mm;Entrada Pu;Saida Pu;Controle Massa Pu;Retido 150;Granulometria_150;Al2O3;Ba;CaO;Cr2O3;Fe2O3;K2O;MgO;MnO;Na2O;Nb;P2O5;SiO2;Sr;TiO2;Y;Zn;Zr;LOI;Sum;Ag;Ce;Co;Cs;Cu;Dy;Er;Eu;Ga;Gd;Hf;Ho;La;Lu;Mo;Nb;Nd;Ni;Pr;Rb;Sm;Sn;Ta;Tb;Th;Tl;Tm;U;V;W;Yb
;;Unit;g;g;%;g;g;%;g;g;%;g;%;%;ppm;%;%;%;%;%;%;%;ppm;%;%;ppm;%;ppm;ppm;ppm;%;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
;;MDL;0;0;0;0;0;0;0;0;0;0;0;0,01;10;0,01;0,01;0,01;0,01;0,01;0,01;0,01;10;0,01;0,01;10;0,01;10;5;10;0,01;0,01;1;0,1;0,5;0,05;5;0,05;0,05;0,05;0,1;0,05;0,05;0,05;0,1;0,05;2;0,05;0,1;5;0,05;0,2;0,1;0,3;0,05;0,05;0,1;0,5;0,05;0,05;5;0,1;0,1
VC-R-013;ICC0422;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;1,12;78;27,09;<0.01;0,58;0,43;15,7;0,23;0,03;<10;0,17;16,29;78;0,06;<10;21;19;38,46;100,15;<1;11,8;3,2;0,82;11;1,2;0,57;<0.05;14,7;0,59;0,21;<0.05;10,3;1,18;<2;<0.05;6;21;1,32;14,7;1;<0.3;0,13;<0.05;0,9;<0.5;<0.05;1,07;26;3,5;0,2
VC-R-014;ICC0423;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;1,05;170;49,09;<0.01;0,43;0,22;0,84;0,04;0,02;<10;0,12;6,48;61;0,06;<10;16;23;41,43;99,79;<1;10,4;5,4;0,48;9;0,8;0,46;<0.05;12,9;0,44;0,63;<0.05;11,1;0,17;<2;<0.05;5,3;85;0,9;10,4;0,5;<0.3;<0.05;<0.05;0,3;<0.5;<0.05;0,27;34;0,6;<0.1
VC-R-015;ICC0424;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;1,04;195;42,39;<0.01;0,62;0,22;6,3;0,03;0,03;<10;0,08;7,3;98;0,06;<10;12;32;41,59;99,66;<1;11,6;5,4;0,18;10;0,96;0,66;<0.05;14,1;0,36;0,45;<0.05;18,7;0,15;<2;<0.05;5,1;35;1,13;8,4;0,7;<0.3;<0.05;<0.05;<0.1;<0.5;<0.05;0,36;76;0,9;0,3
VC-R-016-A;ICC0425;ROCHA;1240;1220;99,18;1030;180;14,88;295;260;88,14;1;0,38;1,09;126;43,02;<0.01;0,5;0,25;4,21;0,02;0,03;<10;0,08;8,34;67;0,06;<10;<5;29;40,76;98,37;<1;11,5;3,5;0,47;7;0,87;0,4;0,21;1,2;1,08;0,3;0,11;12,1;0,13;<2;<0.05;6,2;30;1,5;10,9;1,3;<0.3;<0.05;0,08;0,7;<0.5;<0.05;0,26;68;<0.1;0,4
VC-R-016-B;ICC0426;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,64;29;49,65;<0.01;0,36;0,2;2,81;0,03;0,06;<10;0,06;4,58;179;0,04;<10;13;29;41,84;100,27;<1;14,1;1,7;<0.05;10;0,85;0,61;<0.05;11,7;0,89;0,65;<0.05;14,2;0,06;<2;<0.05;4,8;30;1,54;4,1;0,9;<0.3;<0.05;<0.05;0,2;<0.5;<0.05;0,95;60;<0.1;0,1
VC-R-016-C;ICC0427;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,79;136;0,38;<0.01;3,1;0,11;0,24;0,03;<0.01;<10;0,04;>90;11;0,03;14;13;56;0,48;102,69;<1;21;1,5;0,09;16;2,06;1,03;0,24;12,8;1,84;0,53;0,33;17,8;0,24;<2;<0.05;11,5;28;2,3;2,3;2;<0.3;<0.05;0,11;<0.1;<0.5;0,06;0,22;114;<0.1;1
VC-R-019;ICC0428;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0,31;86;0,48;<0.01;2,28;0,05;0,07;0,02;0,01;<10;0,06;>90;13;0,01;<10;9;81;0,24;103,97;<1;7;1,9;<0.05;10;1,37;0,69;0,07;11,8;0,41;0,69;0,17;8,6;0,17;<2;<0.05;3,6;23;0,56;<0.2;0,5;7;<0.05;0,07;0,3;<0.5;<0.05;<0.05;41;<0.1;0,4
VC-R-021;ICC0429;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;1,32;167;44,56;<0.01;0,48;0,3;1,66;0,02;0,03;<10;0,11;8,54;76;0,07;<10;14;36;39,99;97,07;<1;11,6;101,5;0,55;11;0,99;0,55;<0.05;13,5;0,32;0,93;<0.05;11,6;0,06;<2;<0.05;5,5;68;1,26;10,7;0,7;<0.3;<0.05;<0.05;0,2;<0.5;<0.05;0,51;32;<0.1;0,6
VC-R-022;ICC0430;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;1,44;133;44,44;<0.01;0,62;0,27;3,75;0,03;0,09;<10;0,07;8,86;71;0,07;<10;8;34;40,36;100;<1;12,7;4,6;0,38;12;0,94;0,68;<0.05;12,9;0,38;0,77;<0.05;13;0,06;<2;<0.05;5,6;29;1,11;9,4;1,1;<0.3;<0.05;<0.05;0,3;<0.5;<0.05;0,38;48;2,3;0,3
VC-R-024;ICC0431;ROCHA;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;1,41;162;46,08;<0.01;0,4;0,3;1,34;0,02;0,1;<10;0,05;7,87;62;0,07;<10;115;29;40,24;97,87;<1;10,4;4,5;0,24;13;0,71;0,45;<0.05;11;0,2;0,71;<0.05;12,2;0,49;<2;<0.05;4,8;19;1,11;10,2;0,5;<0.3;<0.05;<0.05;0,2;<0.5;<0.05;0,22;41;<0.1;0,2
