;;Method;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;CLA80C;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A
;;Analyte;Ba;Be;Ce;Co;Cs;Cu;Dy;Er;Eu;Ga;Gd;Hf;Ho;La;Lu;Mo;Nb;Nd;Ni;Pr;Rb;Sm;Sn;Sr;Ta;Tb;Th;Tl;Tm;U;W;Y;Yb;Zr;FeO;Al2O3;CaO;Cr2O3;Fe2O3;K2O;LOI;MgO;MnO;Na2O;P2O5;SiO2;TiO2;Sum
;;Unit;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;%;%;%;%;%;%;%;%;%;%;%;%;%
;;MDL;5;0,1;0,1;0,5;0,05;5;0,05;0,05;0,05;0,1;0,05;0,05;0,05;0,1;0,05;2;0,05;0,1;5;0,05;0,2;0,1;0,3;0,5;0,05;0,05;0,1;0,5;0,05;0,05;0,1;0,05;0,1;0,5;0,14;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01
ICK-341;;FOSFATO;10;<0.1;1,0;0,8;<0.05;10; 0,07;<0.05;<0.05;0,4;<0.05;<0.05;<0.05;1,2;<0.05;<2; 0,24;0,3;13;<0.05;<0.2;<0.1;<0.3;64,3;<0.05;<0.05;<0.1;<0.5;<0.05; 0,25;0,2; 0,32;<0.1;1,5;<0.14;0,03;31,33;<0.01;0,19;<0.01;43,10;18,48;<0.01;<0.01;0,01;7,96;0,02;101,08
ICK-342;;FOSFATO;7;<0.1;1,5;1,0;<0.05;7; 0,21; 0,09;<0.05;0,8; 0,08;<0.05;<0.05;2,2;<0.05;<2;<0.05;0,7;16; 0,16;0,9;0,2;<0.3;20,1;<0.05;<0.05;<0.1;<0.5;<0.05; 0,21;0,2; 1,00;<0.1;1,1;  0,39;0,17;16,60;<0.01;0,61;<0.01;25,58;10,62;0,04;<0.01;0,09;46,95;<0.01;100,54
ICK-343;;FOSFATO;<5;<0.1;0,6;0,8;<0.05;<5;<0.05;<0.05;<0.05;0,8;<0.05;<0.05;<0.05;1,3;<0.05;<2;<0.05;<0.1;12;<0.05;<0.2;<0.1;<0.3;0,9;<0.05;<0.05;<0.1;<0.5;<0.05; 0,07;0,3; 0,14;<0.1;<0.5;  0,83;0,10;0,18;<0.01;1,07;<0.01;0,03;<0.01;0,05;<0.01;0,01;>90;<0.01;N.A.
ICK-344;;FOSFATO;17;<0.1;2,4;1,4;<0.05;11; 0,10;<0.05;<0.05;0,7;<0.05;<0.05;<0.05;11,4;<0.05;<2; 0,27;0,5;25; 0,14;<0.2;<0.1;<0.3;37,6;<0.05;<0.05;<0.1;<0.5;<0.05; 0,27;0,9; 0,55;<0.1;2,5;  0,21;0,04;28,33;<0.01;0,37;<0.01;40,67;18,81;<0.01;<0.01;<0.01;14,14;0,02;102,34
ICK-345;;FOSFATO;25;0,1;5,0;2,2; 0,34;18; 0,42; 0,20; 0,08;1,5; 0,42; 0,23; 0,06;5,6;<0.05;<2;<0.05;2,2;27; 0,55;5,1;0,4;<0.3;4629,6;<0.05;<0.05;0,3;<0.5;<0.05; 0,54;0,6; 2,19;0,2;7,8;  0,33;0,74;51,50;<0.01;0,63;0,09;41,35;0,41;<0.01;0,17;0,05;4,11;0,05;99,10
ICK-346;;FOSFATO;31;0,2;4,7;2,5; 0,33;21; 0,39; 0,22; 0,09;1,6; 0,46; 0,15; 0,07;5,6;<0.05;<2; 0,12;2,1;30; 0,52;5,6;0,4;<0.3;2816,1;<0.05;<0.05;0,4;<0.5; 0,06; 0,40;0,4; 2,33;0,2;7,7;  0,35;0,73;52,96;<0.01;0,70;0,09;41,87;0,40;0,02;0,11;<0.01;3,17;0,05;100,12
ICK-347;;FOSFATO;22;0,1;4,2;2,3; 0,17;19; 0,29; 0,16; 0,05;1,1; 0,31; 0,14;<0.05;5,3;<0.05;<2;<0.05;1,7;32; 0,46;3,4;0,3;<0.3;3817,2;<0.05; 0,06;0,3;<0.5;<0.05; 0,35;0,5; 1,67;0,1;6,1;  0,30;0,62;54,95;<0.01;0,53;0,05;41,51;0,25;<0.01;0,16;0,02;2,76;0,04;100,90
ICK-348;;FOSFATO;29;0,2;8,8;2,6; 0,46;17; 0,70; 0,39; 0,22;2,1; 0,77; 0,32; 0,13;7,5;<0.05;<2; 0,09;4,2;30; 1,08;8,5;0,8;<0.3;3393,1;<0.05; 0,11;0,7;<0.5; 0,05; 0,59;1,0; 4,31;0,4;12,4;  0,29;1,35;51,04;<0.01;0,82;0,19;40,55;0,32;0,01;0,09;0,02;5,76;0,08;100,24
ICK-349;;FOSFATO;20;<0.1;4,2;2,2; 0,09;20; 0,55; 0,26; 0,14;1,4; 0,51; 0,07; 0,11;4,7;<0.05;<2;<0.05;1,9;33; 0,46;1,7;0,4;<0.3;3058,1;<0.05; 0,08;<0.1;<0.5;<0.05; 0,46;0,4; 3,73;0,2;3,4;  0,40;0,35;53,41;<0.01;0,74;<0.01;42,01;0,22;0,06;0,06;<0.01;3,38;0,03;100,27
ICK-350;;FOSFATO;11;<0.1;2,6;1,8; 0,07;16; 0,17; 0,10; 0,05;0,7; 0,16;<0.05;<0.05;5,4;<0.05;<2;<0.05;0,8;29; 0,26;1,1;0,1;<0.3;4335,6;<0.05;<0.05;<0.1;<0.5;<0.05; 0,38;0,4; 1,33;<0.1;0,7;  0,24;0,21;49,43;<0.01;0,40;<0.01;41,62;0,19;<0.01;0,07;<0.01;4,16;0,02;96,06
ICK-351;;FOSFATO;14;0,1;4,4;1,1; 0,16;24; 0,39; 0,23; 0,15;0,4; 0,44; 0,31; 0,09;8,9;<0.05;<2;<0.05;1,7;9; 0,52;2,3;0,4;<0.3;3822,8; 0,42; 0,09;0,5;0,8; 0,05; 0,46;0,5; 2,51;0,2;4,8;  0,27;0,39;53,30;<0.01;0,41;0,02;41,67;0,23;<0.01;0,09;0,06;3,78;0,03;100,01
ICK-352;;FOSFATO;30;0,2;7,5;2,2; 0,33;22; 0,59; 0,35; 0,19;1,7; 0,53; 0,38; 0,11;14,3;<0.05;<2; 0,31;3,1;29; 0,73;6,0;0,6;<0.3;3481,4; 0,20; 0,08;0,7;<0.5; 0,06; 0,54;1,2; 3,51;0,2;9,6;  0,32;0,85;52,94;<0.01;0,66;0,11;41,26;0,37;0,04;0,13;0,01;4,62;0,06;101,07
ICK-353;;FOSFATO;35;0,3;6,5;2,6; 0,35;20; 0,80; 0,45; 0,35;1,9; 0,75; 0,37; 0,19;7,4; 0,11;<2; 0,32;3,5;27; 0,92;6,5;0,7;<0.3;3260,4; 0,18; 0,16;0,7;<0.5; 0,12; 0,65;0,5; 4,88;0,4;13,1;  0,48;0,92;51,51;<0.01;1,31;0,10;40,70;0,28;0,04;0,14;<0.01;5,60;0,06;100,66
ICK-354;;FOSFATO;11;<0.1;2,5;1,8; 0,82;21; 0,27; 0,13; 0,07;0,6; 0,30; 0,10; 0,06;3,4;<0.05;<2;<0.05;1,0;30; 0,25;2,9;0,2;<0.3;3484,0;<0.05; 0,05;<0.1;<0.5;<0.05; 0,35;0,8; 1,69;0,1;1,6;  0,21;0,19;55,15;<0.01;0,44;<0.01;42,69;0,18;<0.01;0,03;<0.01;1,69;0,02;100,38
ICK-355;;FOSFATO;28;0,3;5,9;2,2; 0,24;20; 0,38; 0,23; 0,22;1,5; 0,47; 0,28; 0,08;4,9;<0.05;<2; 0,24;2,5;28; 0,63;4,4;0,4;<0.3;4450,5;<0.05; 0,06;0,5;<0.5;<0.05; 0,40;0,5; 2,45;0,2;11,8;  0,43;0,63;51,02;<0.01;0,74;0,06;41,62;0,30;0,02;0,13;<0.01;3,37;0,04;97,93
ICK-356;;FOSFATO;11;0,2;1,6;1,7;<0.05;19; 0,12; 0,06;<0.05;0,6; 0,10;<0.05;<0.05;3,7;<0.05;<2;<0.05;0,5;29; 0,15;0,4;<0.1;<0.3;3901,5;<0.05;<0.05;<0.1;<0.5;<0.05; 0,33;0,7; 0,74;<0.1;<0.5;  0,26;0,11;51,43;<0.01;0,41;<0.01;42,81;0,34;<0.01;<0.01;<0.01;1,86;0,02;96,94
ICK-357;;FOSFATO;23;0,2;5,7;2,4; 0,25;21; 0,41; 0,24; 0,15;1,5; 0,40; 0,25; 0,08;5,2;<0.05;<2;<0.05;2,5;30; 0,71;4,8;0,4;<0.3;4479,7;<0.05; 0,07;0,4;<0.5;<0.05; 0,45;0,6; 2,51;0,2;9,3;  0,34;0,69;50,88;<0.01;0,73;0,09;41,52;0,30;0,02;0,12;<0.01;3,29;0,05;97,69
ICK-358;;FOSFATO;12;0,1;2,3;1,9; 0,07;17; 0,15; 0,06;<0.05;0,7; 0,19; 0,09;<0.05;6,1;<0.05;<2;<0.05;0,8;32; 0,19;1,6;0,2;<0.3;3014,0;<0.05;<0.05;<0.1;<0.5;<0.05; 0,44;1,5; 1,17;<0.1;3,2;  0,18;0,28;54,58;<0.01;0,39;<0.01;42,40;0,26;<0.01;0,05;<0.01;1,13;0,03;99,14
ICK-359;;FOSFATO;9;0,1;1,8;1,9; 0,21;22; 0,14;<0.05;<0.05;0,6; 0,14;<0.05;<0.05;3,2;<0.05;<2;<0.05;0,7;30; 0,20;1,9;0,1;<0.3;2632,3;<0.05;<0.05;<0.1;<0.5;<0.05; 0,45;0,5; 0,95;<0.1;1,5;<0.14;0,22;53,34;<0.01;0,23;<0.01;42,94;0,59;<0.01;0,05;<0.01;0,93;0,02;98,31
ICK-360;;FOSFATO;16;0,3;4,0;2,2; 0,30;21; 0,38; 0,20;<0.05;1,2; 0,32; 0,20; 0,06;4,0;<0.05;<2;<0.05;1,5;29; 0,42;4,2;0,3;<0.3;3967,8;<0.05;<0.05;0,3;<0.5;<0.05; 0,76;0,5; 2,12;0,2;5,8;  0,39;0,64;53,50;<0.01;0,62;0,06;42,14;0,32;0,01;0,11;<0.01;2,54;0,04;99,98
ICK-361;;FOSFATO;33;<0.1;11,1;1,8; 0,19;19; 0,95; 0,46; 0,21;1,0; 1,13; 0,25; 0,17;7,1; 0,05;<2; 0,28;4,7;27; 1,10;4,3;1,0;<0.3;1269,4;<0.05; 0,14;1,0;<0.5; 0,05; 0,78;0,8; 4,89;0,3;11,7;<0.14;0,53;49,74;<0.01;0,30;0,10;42,30;2,39;<0.01;0,12;<0.01;3,39;0,04;98,86
