;Method;SCR33;SCR33;SCR33;SCR33;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B;ICM40B
;Analyte;Peso;Soma Peso;80#;<80#;Ag;Al;As;Au;B;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Ge;Hf;Hg;In;K;La;Li;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Te;Th;Ti;U;V;W;Y;Zn;Zr;Ag;Al;As;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Hf;In;K;La;Li;Lu;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;U;V;W;Y;Yb;Zn;Zr
;Unit;g;g;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;%;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
;MDL;0;0;0;0;0,01;0,01;1;0,1;10;5;0,1;0,02;0,01;0,01;0,05;0,1;1;0,05;0,5;0,01;0,1;0,1;0,05;0,01;0,02;0,01;0,1;1;0,01;5;0,05;0,01;0,05;0,5;50;0,2;0,2;0,1;0,01;0,05;0,1;1;0,3;0,5;0,05;0,05;0,1;0,01;0,05;1;0,1;0,05;1;0,5;0,02;0,01;1;5;0,1;0,04;0,01;0,02;0,05;0,1;1;5;0,5;0,01;0,1;0,02;0,02;0,01;0,1;1;0,01;0,01;0,01;0,05;0,01;0,1;0,5;50;0,5;0,2;0,1;0,01;0,05;0,5;2;0,3;0,5;0,05;0,05;0,05;0,2;0,01;0,02;0,1;1;0,1;0,1;0,1;1;0,5
LR-S-5673 GIG979;SEDIMENTO CORRENTE;671;667;91,9;8,1;0,04;0,45;1;<0.1;<10;45;0,2;0,08;0,88;0,02;40,71;3,7;5;0,3;4,4;0,82;2,4;<0.1;<0.05;<0.01;0,02;0,07;20,4;2;0,1;189;0,14;<0.01;0,23;3,6;128;11,1;10,6;<0.1;<0.01;0,18;1,5;<1;0,5;6,1;<0.05;<0.05;5,2;<0.01;0,57;9;<0.1;6,34;12;1,4;0,23;5,23;<1;585;0,8;<0.04;1,25;0,05;45,33;4,1;15;<5;8,8;1,34;12,9;6,93;0,04;1,76;22,7;11;0,18;0,24;0,03;0,36;1,74;6,4;6,2;142;12,8;73,2;<0.1;<0.01;0,14;5,8;<2;1,8;132;0,69;0,38;<0.05;7,8;0,17;0,29;2,3;25;0,2;11,6;1,3;23;167
LR-S-5674 GIG980;SEDIMENTO CORRENTE;586;585;86,32;13,68;0,06;0,2;<1;<0.1;<10;24;<0.1;<0.02;0,05;<0.01;11,82;1;3;0,14;5,2;0,27;1,2;<0.1;<0.05;<0.01;<0.02;0,05;7,7;1;0,04;27;0,07;<0.01;0,22;2,2;53;7,7;5,8;<0.1;<0.01;0,17;0,6;<1;<0.3;5,5;<0.05;<0.05;2,3;<0.01;0,56;4;<0.1;1,48;6;1;0,14;5,23;<1;843;0,6;<0.04;0,44;0,05;16,72;1,5;9;<5;5,6;0,67;11,1;5,38;<0.02;2,57;8,4;6;0,09;0,13;<0.01;0,27;2,09;4,7;4,2;96;12,4;86,2;<0.1;<0.01;0,19;3,7;<2;1,8;193;0,97;0,11;<0.05;3,6;0,11;0,33;2,3;17;<0.1;6;0,7;13;150
LR-S-5675 GIG981;SEDIMENTO CORRENTE;613;613;81,89;18,11;0,03;0,08;<1;<0.1;<10;14;<0.1;<0.02;0,02;0,02;25;0,5;<1;0,06;0,5;0,15;0,7;<0.1;<0.05;0,01;<0.02;<0.01;12,4;<1;<0.01;72;0,05;<0.01;0,11;0,5;<50;6,4;1,5;<0.1;<0.01;0,15;0,4;<1;<0.3;2,8;<0.05;<0.05;2,5;<0.01;0,19;2;<0.1;2,86;2;<0.5;0,11;2,1;<1;287;0,3;<0.04;0,19;0,03;30,55;0,5;<1;<5;3,2;0,27;4,2;1,23;<0.02;0,92;15,4;3;0,04;0,02;<0.01;<0.05;0,69;0,7;0,9;<50;6,1;17,1;<0.1;<0.01;<0.05;0,8;<2;0,7;63,7;0,25;0,2;<0.05;3,3;0,03;0,02;0,5;3;<0.1;5;0,4;6;22,1
MR-S-5530 GIG982;SEDIMENTO CORRENTE;758;757;76,75;23,25;0,13;0,08;<1;<0.1;<10;<5;<0.1;<0.02;0,01;0,01;2,34;0,2;2;0,12;0,9;0,11;0,6;<0.1;<0.05;<0.01;<0.02;<0.01;1,3;<1;<0.01;6;0,07;<0.01;<0.05;1;<50;5,5;1;<0.1;<0.01;0,16;0,6;<1;0,3;<0.5;<0.05;0,05;0,8;<0.01;<0.05;4;<0.1;0,34;1;<0.5;0,21;0,44;<1;13;0,1;<0.04;0,02;<0.02;2,72;0,4;11;<5;5,4;0,16;1,3;0,45;<0.02;0,04;1,5;3;<0.01;0,02;<0.01;0,1;<0.01;1,5;2,7;<50;3,5;0,9;<0.1;<0.01;0,15;0,9;<2;1,1;1,3;<0.05;<0.05;<0.05;0,8;0,07;<0.02;0,2;8;<0.1;1;0,1;4;12,7
MR-S-5540 GIG983;SEDIMENTO CORRENTE;764;763;92,92;7,08;0,05;0,35;6;<0.1;<10;37;0,5;0,08;0,06;0,05;70,8;8,9;12;0,45;12;1,51;3,1;<0.1;<0.05;0,05;<0.02;0,04;10,3;3;0,03;202;0,2;<0.01;0,11;11,3;118;20;6,6;<0.1;<0.01;0,48;1,4;<1;<0.3;4,1;<0.05;<0.05;2,8;<0.01;0,32;16;1;2,87;16;<0.5;0,16;2,45;4;121;0,9;<0.04;0,05;0,03;59,73;7,9;33;<5;15,7;1,68;7,3;2,41;0,03;0,61;10;15;0,11;0,18;0,02;0,16;0,03;5,6;13,7;120;18,7;43;<0.1;<0.01;0,59;5,5;<2;1,5;6,2;0,32;0,2;<0.05;5,1;0,2;0,15;1,1;43;<0.1;6,5;0,9;22;62,5
MR-S-5550 GIG984;SEDIMENTO CORRENTE;858;857;93,7;6,3;<0.01;0,03;<1;<0.1;<10;<5;<0.1;<0.02;<0.01;0,04;1,79;0,1;<1;0,05;17,4;0,11;0,2;<0.1;<0.05;0,04;<0.02;<0.01;0,6;<1;<0.01;<5;<0.05;<0.01;<0.05;0,9;<50;5,4;0,9;<0.1;<0.01;0,18;0,3;<1;0,4;<0.5;<0.05;<0.05;0,5;<0.01;<0.05;2;<0.1;0,14;2;<0.5;0,1;0,18;<1;14;<0.1;<0.04;<0.01;<0.02;3,32;0,2;6;<5;4;0,15;0,6;0,48;<0.02;0,03;1,1;2;<0.01;<0.01;<0.01;0,05;<0.01;1,4;1,3;<50;3,6;1,7;<0.1;<0.01;0,12;0,5;<2;0,4;1;<0.05;<0.05;<0.05;0,5;0,08;<0.02;0,1;4;0,1;0,7;<0.1;2;14,2
MR-S-5560 GIG985;SEDIMENTO CORRENTE;585;584;88,18;11,82;0,07;0,83;11;<0.1;<10;46;0,6;0,36;0,12;0,05;63,83;22,5;38;0,52;30,5;4,94;6;<0.1;0,08;<0.01;<0.02;0,1;29,2;4;0,18;775;0,48;<0.01;0,1;32;305;32,3;9,1;<0.1;<0.01;1,49;2,2;<1;<0.3;9,7;<0.05;0,08;5,8;<0.01;0,81;42;<0.1;5,87;61;3,9;0,16;4,88;10;211;2;0,24;0,12;0,08;58,88;22,5;75;6;33;5,35;15,6;3,21;0,08;1,59;27,3;24;0,24;0,52;0,08;0,45;0,08;4,6;36,4;257;32,2;109;<0.1;<0.01;1,57;11,8;<2;2,4;12,4;0,33;0,53;0,08;9,3;0,18;0,41;2,1;100;0,4;12,4;1,8;75;83,6
MR-S-5570 GIG986;SEDIMENTO CORRENTE;269;268;72,01;27,99;0,05;1,18;12;<0.1;<10;79;0,7;0,18;0,07;0,04;36,1;8,9;17;1,85;12,1;2,91;7,1;<0.1;<0.05;0,1;0,03;0,08;19,8;6;0,04;310;0,7;<0.01;0,1;8;387;17,6;13,7;<0.1;0,02;0,41;2,9;<1;0,8;6,3;<0.05;<0.05;3,2;<0.01;0,46;44;<0.1;5,35;12;<0.5;0,15;7,95;10;286;2,3;0,21;0,07;0,07;36,54;10,3;69;10;21,5;3,56;21,1;4,87;0,14;1,75;21,9;28;0,31;0,47;0,03;0,81;0,12;11,3;26,1;447;18,4;137;<0.1;0,01;0,86;18,2;<2;3,8;12,3;1,06;0,48;<0.05;12;0,37;0,69;2,2;121;1,2;14,4;2,2;38;131
MR-S-5580 GIG987;SEDIMENTO CORRENTE;536;534;81,09;18,91;0,04;0,93;9;<0.1;<10;78;1;0,39;0,17;0,11;70,89;22,7;31;1,61;38,6;4,43;6,9;<0.1;0,21;0,02;<0.02;0,12;37,3;5;0,21;980;0,49;0,02;0,47;45,7;253;24,8;14,9;<0.1;<0.01;1,02;2,6;<1;0,4;19,8;<0.05;0,08;7,7;<0.01;0,75;34;<0.1;8,23;80;6,5;0,03;7,22;8;404;2,6;0,25;0,15;0,07;52,71;19,4;90;6;35,7;4,98;20,7;5,23;0,06;2,61;27,1;41;0,35;0,76;0,09;0,56;0,15;9,8;42,2;250;22,2;144;<0.1;<0.01;1,11;15,6;<2;3,3;26,4;1,37;0,64;<0.05;11;0,35;0,68;3,1;131;1,3;18;2,6;99;141
MR-S-5590 GIG988;SEDIMENTO CORRENTE;634;630;79,37;20,63;0,03;0,25;<1;<0.1;11;8;0,3;0,05;0,04;0,02;9,2;1,1;6;0,41;5,2;0,46;1,5;<0.1;<0.05;<0.01;0,02;0,02;4,6;3;<0.01;23;0,12;<0.01;0,38;3,2;97;11,6;2,8;<0.1;<0.01;0,29;0,9;<1;<0.3;1;<0.05;<0.05;1,2;<0.01;0,21;8;<0.1;0,87;4;<0.5;0,06;1,13;<1;42;0,4;<0.04;0,04;0,03;9,13;1,7;15;<5;8,3;0,55;3,5;1,05;0,02;0,19;4,5;10;0,03;0,06;<0.01;0,13;0,01;2,2;5,2;<50;7,5;13,8;<0.1;<0.01;0,26;2,3;<2;0,9;2,5;<0.05;<0.05;<0.05;2,2;0,09;0,05;0,6;18;<0.1;2,5;0,4;10;29,3
MR-S-5600 GIG989;SEDIMENTO CORRENTE;676;674;91,99;8,01;0,03;0,42;4;<0.1;<10;41;0,5;0,09;0,1;<0.01;28,14;5,9;13;0,29;8,5;2,01;2,2;<0.1;<0.05;<0.01;<0.02;0,05;13,5;3;0,08;287;0,23;<0.01;0,06;10,3;162;10,9;5;<0.1;<0.01;0,57;<0.1;<1;0,8;6,6;<0.05;<0.05;1,8;<0.01;0,34;19;<0.1;2,74;19;1,4;<0.02;2,47;3;145;1,1;<0.04;0,11;<0.02;28,48;6,3;29;<5;14,2;2,31;6,7;1,68;0,04;0,68;14,2;15;0,09;0,26;0,03;0,17;0,05;2;13,1;174;13;46,3;<0.1;<0.01;0,58;4,7;<2;1,3;8,9;0,09;0,21;<0.05;4,5;0,09;0,18;1,1;43;0,3;5,6;0,8;31;44,9
MR-S-5710 GIG990;SEDIMENTO CORRENTE;548;546;79,3;20,7;0,04;0,96;9;<0.1;<10;96;0,4;0,3;0,05;0,04;55,32;33,5;18;0,55;30,2;3;5,4;<0.1;<0.05;0,03;<0.02;0,11;25,7;7;0,06;836;0,61;<0.01;0,07;28,1;191;28,9;11,1;<0.1;<0.01;1,16;1,7;<1;0,5;5,1;<0.05;<0.05;6;<0.01;0,7;20;0,1;4,77;26;1;<0.02;6,07;7;429;2,1;0,18;0,05;<0.02;41,86;27,9;64;6;32,7;3,38;16;3,82;0,04;1,98;19,5;39;0,25;0,55;0,08;0,59;0,09;6,3;36,7;185;24,4;124;<0.1;<0.01;1,06;12,8;<2;2,6;8,2;0,63;0,39;<0.05;9,1;0,24;0,5;2,4;100;0,7;11;1,8;56;113
MR-S-5720 GIG991;SEDIMENTO CORRENTE;790;787;78,53;21,47;0,02;0,19;<1;<0.1;<10;23;0,2;0,19;0,03;0,02;14,19;1,3;1;0,29;18,7;0,39;1,2;<0.1;0,07;<0.01;0,03;0,04;7,4;1;0,03;71;0,14;<0.01;0,23;0,8;59;6;6,1;<0.1;<0.01;0,12;0,8;<1;0,4;4,7;0,06;0,94;1,3;<0.01;0,21;5;0,1;2,92;6;<0.5;0,02;2,34;2;226;0,5;<0.04;0,18;<0.02;28,96;2;1;<5;4,6;0,75;5,8;2,16;<0.02;0,79;13,8;6;0,08;0,07;0,01;0,29;0,74;1,7;3,6;<50;12,6;31,6;<0.1;<0.01;0,16;1,5;<2;0,9;57,6;0,09;0,21;<0.05;3,4;0,09;0,06;0,9;9;2,8;6,4;0,7;13;47
MR-S-5730 GIG992;SEDIMENTO CORRENTE;493;490;68,16;31,84;0,04;0,69;2;<0.1;<10;87;0,5;0,14;0,2;0,1;39,79;5,5;10;0,64;12;1,28;2,8;<0.1;0,09;0,03;<0.02;0,06;18,9;5;0,14;163;0,23;<0.01;0,24;8,1;392;12,6;10,1;<0.1;0,02;0,27;2,3;<1;0,3;6,2;<0.05;0,29;2,9;<0.01;0,62;12;0,2;10,53;21;2;<0.02;4,47;3;528;1,3;0,04;0,24;0,07;49,05;6,5;32;<5;16,9;1,9;10,6;3,38;0,04;1,76;26,1;23;0,29;0,46;0,02;0,23;0,19;5,7;14,3;417;14,4;85,8;<0.1;0,01;0,44;7;<2;1,7;25,1;0,47;0,57;<0.05;6,9;0,25;0,36;2,2;51;0,5;17,6;1,9;36;87,7
MR-S-5653 GIG993;SEDIMENTO CORRENTE;779;775;82,19;17,81;<0.01;0,09;<1;<0.1;<10;<5;<0.1;<0.02;0,01;<0.01;2,41;0,2;2;0,13;1,1;0,11;0,6;<0.1;<0.05;<0.01;<0.02;<0.01;1,3;<1;<0.01;8;<0.05;<0.01;0,07;0,9;<50;4,9;1,6;<0.1;<0.01;0,17;0,6;<1;<0.3;0,5;<0.05;0,16;0,6;<0.01;<0.05;5;<0.1;0,39;1;<0.5;0,04;0,49;<1;17;0,1;<0.04;0,02;<0.02;2,66;0,4;11;<5;4,7;0,18;1,3;0,52;<0.02;0,05;1,4;3;0,09;0,02;<0.01;0,05;0,01;1,7;2,3;<50;3,4;2,2;<0.1;<0.01;0,17;1;<2;0,6;1,9;<0.05;<0.05;<0.05;0,9;0,08;<0.02;0,2;9;<0.1;1,3;0,2;4;15,9
MR-S-5654 GIG994;SEDIMENTO CORRENTE;735;732;93,31;6,69;0,02;0,37;6;<0.1;<10;34;0,5;0,09;0,05;0,03;73,93;8,6;12;0,42;11,5;1,65;3,1;<0.1;<0.05;0,04;<0.02;0,05;12,1;3;0,03;185;0,15;<0.01;0,19;11,7;170;20,5;6,7;<0.1;<0.01;0,48;1,4;<1;<0.3;3,5;<0.05;0,19;2,6;<0.01;0,28;17;<0.1;2,73;15;<0.5;0,04;2,4;5;119;0,9;<0.04;0,06;0,03;59,48;7,8;33;<5;14,6;1,9;6,8;2,49;<0.02;0,61;9,7;13;0,12;0,19;0,02;0,12;0,02;4,5;13,1;116;19,3;40,9;<0.1;<0.01;0,62;4,8;<2;1,4;5,8;0,15;0,2;<0.05;4,7;0,2;0,16;1;41;0,3;6,4;0,9;25;69,8
MR-S-5655 GIG995;SEDIMENTO CORRENTE;798;795;94,34;5,66;0,03;0,04;<1;<0.1;11;<5;<0.1;0,02;<0.01;0,09;2,13;0,2;1;0,08;1,6;0,14;0,4;<0.1;<0.05;0,02;<0.02;<0.01;0,8;<1;<0.01;<5;0,06;<0.01;0,13;2,2;<50;5,5;1,3;<0.1;<0.01;0,18;0,4;<1;<0.3;<0.5;<0.05;0,13;0,5;<0.01;<0.05;2;<0.1;0,19;<1;<0.5;0,11;0,24;<1;15;<0.1;<0.04;<0.01;<0.02;3,75;0,4;10;<5;5,3;0,22;0,9;1,74;<0.02;0,04;1,2;2;0,03;0,01;<0.01;0,08;<0.01;2,1;1,9;<50;4,1;2,7;<0.1;<0.01;0,3;1;<2;0,6;1,1;<0.05;<0.05;<0.05;1,4;0,12;<0.02;0,3;6;<0.1;1,3;0,2;4;32
MR-S-5656 GIG996;SEDIMENTO CORRENTE;590;588;81,63;18,37;0,03;0,8;9;<0.1;<10;45;0,8;0,3;0,1;0,05;56,7;20,1;33;0,58;27,3;4,28;5,4;<0.1;0,06;0,01;<0.02;0,09;26,4;4;0,15;719;0,42;<0.01;0,27;27,7;224;28,7;8,9;<0.1;<0.01;1,41;2,1;<1;<0.3;8,5;<0.05;0,16;5,4;<0.01;0,7;36;<0.1;5,56;48;3,1;0,09;4,18;7;176;1,6;0,19;0,1;0,04;48,71;17,6;62;5;27,1;4,32;12,9;2,9;0,06;1,32;22,6;21;0,2;0,42;0,07;0,3;0,07;3,5;29,2;198;26,4;90,6;<0.1;<0.01;1,33;9,5;<2;2,5;9,7;0,2;0,4;<0.05;8;0,15;0,32;1,9;81;0,3;10,6;1,5;61;71,3
MR-S-5657 GIG997;SEDIMENTO CORRENTE;340;338;78,99;21,01;0,04;1,11;8;<0.1;<10;63;0,7;0,15;0,36;0,03;31,38;9,6;16;1,34;9,5;2,88;6,2;<0.1;<0.05;0,07;<0.02;0,08;16,8;5;0,04;328;0,4;<0.01;0,5;6,7;366;15,3;12,2;<0.1;0,02;0,36;2,6;<1;0,4;6,8;<0.05;<0.05;3;<0.01;0,39;38;<0.1;4,54;11;<0.5;0,12;7,16;8;264;2,3;0,18;0,34;<0.02;31,38;11,2;64;9;19,1;3,47;19,9;4,47;0,1;1,67;18,1;24;0,28;0,44;0,03;0,53;0,13;9,1;22,9;365;16,5;127;<0.1;0,01;0,7;15,9;<2;3,4;11,7;0,91;0,4;<0.05;10,2;0,32;0,66;2,1;110;1;13;1,9;35;126
MR-S-5658 GIG998;SEDIMENTO CORRENTE;571;568;79,05;20,95;0,03;0,95;9;<0.1;<10;103;1;0,38;0,16;0,07;75,07;24,8;33;1,5;33,9;4,37;6,7;<0.1;0,13;0,03;0,04;0,11;37;6;0,19;1114;0,52;<0.01;0,17;41,8;252;27,6;13,4;<0.1;0,01;0,99;2,5;<1;0,4;18,6;<0.05;0,13;6,9;<0.01;0,71;35;<0.1;8,1;71;5;0,03;6,9;7;391;2,4;0,22;0,18;0,08;57,63;21;86;6;33;4,96;18,4;4,27;0,04;2,32;29,3;38;0,32;0,69;0,11;0,49;0,13;7,6;39,7;264;24,8;136;<0.1;<0.01;0,87;14,5;<2;3,2;26,2;0,63;0,68;<0.05;11;0,31;0,52;2,7;119;0,8;18,2;2,3;93;124
MR-S-5659 GIG999;SEDIMENTO CORRENTE;726;723;86,72;13,28;<0.01;0,18;<1;<0.1;<10;7;0,2;0,06;0,02;<0.01;6,99;1,1;6;0,27;4,2;0,57;1,4;<0.1;<0.05;0,02;<0.02;0,02;3,5;1;<0.01;25;0,07;<0.01;0,18;2,9;54;7,4;2,6;<0.1;<0.01;0,26;0,8;<1;0,4;0,7;<0.05;0,08;1,1;<0.01;0,17;9;<0.1;0,68;4;<0.5;0,04;0,99;<1;41;0,3;<0.04;0,04;<0.02;7,27;1,4;15;<5;8;0,66;3,1;1,07;<0.02;0,2;3,6;7;<0.01;0,06;<0.01;0,07;<0.01;1,7;4,7;52;6,6;13,6;<0.1;<0.01;0,26;2;<2;0,8;2,7;0,05;<0.05;<0.05;1,9;0,08;0,04;0,5;18;<0.1;2;0,3;10;28,2
MR-S-5660 GIH001;SEDIMENTO CORRENTE;721;719;93,88;6,12;0,04;0,66;6;<0.1;<10;60;0,6;0,15;0,13;0,04;44,8;10,8;16;0,56;17,5;3,09;3,9;<0.1;<0.05;<0.01;<0.02;0,08;21,2;4;0,12;451;0,26;<0.01;0,44;18,6;288;21,1;9,8;<0.1;<0.01;0,94;1,7;<1;0,7;5,6;<0.05;0,13;3,4;<0.01;0,58;25;<0.1;4,71;38;1,5;0,06;3,25;5;200;1,4;0,07;0,13;0,03;41,32;9,8;40;<5;19,3;3,2;9,4;2,03;0,04;0,94;20,3;20;0,15;0,35;0,04;0,24;0,06;3;19,8;261;18,5;67,3;<0.1;<0.01;0,89;6,7;<2;1,8;9;0,21;0,33;<0.05;5,8;0,13;0,28;1,5;62;0,2;7,6;1,2;50;55,2
MR-S-5661 GIH002;SEDIMENTO CORRENTE;462;460;79,78;20,22;0,02;0,91;8;<0.1;<10;100;0,5;0,3;0,07;0,04;51,55;32,3;17;0,56;27,8;2,89;5,2;<0.1;<0.05;0,05;<0.02;0,11;23,4;6;0,06;1035;0,58;<0.01;0,15;26,5;222;28,2;10,8;<0.1;<0.01;1,13;1,6;<1;0,3;5,9;<0.05;0,08;5,4;<0.01;0,68;20;<0.1;4,72;25;0,8;0,1;6,4;7;436;2,6;0,19;0,07;0,03;49,39;30,5;66;7;34,6;3,4;17,5;4,15;0,08;2,02;22,9;39;0,28;0,57;0,1;0,7;0,09;5,6;39,7;175;25,8;137;<0.1;<0.01;1,12;13,9;<2;3,4;9,5;0,45;0,45;<0.05;10,3;0,22;0,57;2,6;99;0,6;12,3;1,9;58;113
MR-S-5662 GIH003;SEDIMENTO CORRENTE;716;714;63,45;36,55;0,01;0,16;<1;<0.1;<10;19;0,1;0,04;0,02;0,01;10,68;1;1;0,22;1;0,32;1;<0.1;<0.05;0,02;<0.02;0,03;5,1;1;0,03;49;<0.05;<0.01;0,19;0,8;51;6,2;3,7;<0.1;<0.01;0,12;0,5;<1;<0.3;3,3;<0.05;<0.05;1;<0.01;0,12;4;<0.1;1,75;6;<0.5;<0.02;2,31;<1;216;0,4;<0.04;0,15;<0.02;18,05;1,1;3;<5;4,2;0,5;5,2;1,51;<0.02;0,89;8,2;5;0,04;0,06;<0.01;<0.05;0,71;1,3;1,3;<50;6,8;32,8;<0.1;<0.01;<0.05;1,3;<2;0,7;53,5;0,14;0,1;<0.05;2,3;0,07;0,09;0,6;8;<0.1;4,1;0,4;9;34,5
MR-S-5663 GIH004;SEDIMENTO CORRENTE;522;520;72,69;27,31;0,05;0,69;2;<0.1;<10;88;0,5;0,11;0,18;0,1;38,58;5,6;10;0,6;10,4;1,34;2,8;<0.1;0,06;0,03;<0.02;0,06;18,4;5;0,15;183;0,15;<0.01;0,18;7,7;376;11,9;8,5;<0.1;0,01;0,29;2;<1;0,5;6;<0.05;<0.05;2,7;<0.01;0,54;12;<0.1;10,06;20;2;0,11;4,09;2;493;1,1;0,06;0,21;0,12;55,64;6,4;29;<5;15,4;1,81;10,4;3,51;0,05;1,54;28,8;19;0,31;0,43;0,02;0,25;0,14;5,8;13,8;376;14,6;84,1;<0.1;<0.01;0,41;6,4;<2;1,7;23,3;0,66;0,62;<0.05;7,7;0,25;0,35;2,1;47;0,4;18;2,1;33;91,8
Pulp Duplicates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MR-S-5663 GIH004;REP;--;--;--;--;0,05;0,68;2;<0.1;<10;84;0,3;0,09;0,17;0,07;37,81;5,5;10;0,57;10;1,26;2,8;<0.1;0,06;0,02;<0.02;0,06;17,3;5;0,14;167;0,15;<0.01;0,31;7,5;372;11,6;8,4;<0.1;0,01;0,26;2;1;<0.3;5,8;<0.05;<0.05;2,6;<0.01;0,54;12;<0.1;9,77;19;1,9;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
MR-S-5662 GIH003;REP;--;--;--;--;0,02;0,18;<1;<0.1;<10;18;0,2;0,04;0,02;<0.01;14,85;1;<1;0,24;1,3;0,35;1,2;<0.1;<0.05;0,02;<0.02;0,03;6,3;1;0,03;52;0,05;<0.01;0,12;1,1;64;7,2;4,2;<0.1;<0.01;0,16;0,6;<1;0,4;3,7;<0.05;<0.05;1,1;<0.01;0,16;4;<0.1;2,18;6;<0.5;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
MR-S-5663 GIH004;REP;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0,13;4,03;2;482;1;0,05;0,2;0,15;50,67;6,6;28;<5;14,6;1,75;10,6;3,52;0,06;1,49;26,1;20;0,29;0,41;0,02;0,19;0,15;4,9;13,3;386;14,1;88;<0.1;<0.01;0,39;6,8;<2;1,6;22,2;0,54;0,6;<0.05;6,6;0,22;0,33;2,1;46;0,5;18,4;2,2;32;89,9
MR-S-5662 GIH003;REP;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0,02;2,19;<1;208;0,4;<0.04;0,14;<0.02;16,96;1;2;<5;4,2;0,47;5;1,36;<0.02;0,83;7,4;5;0,04;0,06;<0.01;<0.05;0,69;1,3;1,3;<50;6,8;31,6;<0.1;<0.01;<0.05;1,1;<2;0,7;50,1;0,13;0,1;<0.05;2,4;0,06;0,08;0,6;7;<0.1;4,2;0,5;11;31,7
LR-S-5640 GIG976;REP;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0,11;1,69;2;91;0,6;<0.04;0,04;<0.02;13,73;5,4;21;<5;16,1;1,04;4,8;1,88;<0.02;0,49;7,5;11;0,08;0,15;0,02;0,48;0,02;3,3;9,4;<50;12,5;33,3;<0.1;<0.01;0,5;3,6;<2;1,6;5;0,16;0,11;<0.05;3,4;0,14;0,12;0,7;26;0,3;4,3;0,7;19;46,6
