;;MDL;0;0;0;0;0;0;0;0;0;0,02;0,01;1;5;0,1;0,04;0,01;0,02;0,05;0,1;1;5;0,5;0,01;0,1;0,02;0,02;0,01;0,1;1;0,01;0,01;0,01;0,05;0,01;0,1;0,5;50;0,5;0,2;0,1;0,01;0,05;0,5;2;0,3;0,5;0,05;0,05;0,05;0,2;0,01;0,02;0,1;1;0,1;0,1;0,1;1;0,5
Sample;;Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MR-S-6728;GIJ915;SEDIMENTO CORRENTE;1785;1130;90;1030;N.A.;N.A.;N.A.;N.A.;N.A.;0,07;4,49;2;195;1,1;0,12;9,24;0,12;53,37;10,2;24;<5;29,6;2,62;10,8;1,74;<0.02;0,19;31,9;23;0,27;5,09;0,06;0,26;0,18;7,5;19,9;258;15,2;34,4;<0.1;0,02;0,3;12,9;<2;1,9;179;0,54;0,67;<0.05;6,9;0,3;0,29;0,8;43;0,8;19,8;1,8;36;49,1
MR-S-6729;GIJ916;SEDIMENTO CORRENTE;1450;1065;170;880;N.A.;N.A.;N.A.;N.A.;N.A.;0,09;4,19;5;885;1,2;0,18;0,63;0,09;55,34;12,1;29;<5;27,3;2,8;11,6;2,51;0,04;0,2;26,7;24;0,25;0,48;0,08;1,35;0,27;10,9;15,1;403;20,9;50,3;<0.1;0,02;0,51;11,8;<2;2,4;28,4;0,56;0,55;0,06;7,8;0,45;0,38;0,9;60;1,1;15,2;1,6;46;76,8
MR-S-6731;GIJ917;SEDIMENTO CORRENTE;1815;1280;210;1055;N.A.;N.A.;N.A.;N.A.;N.A.;0,07;3,38;10;255;0,9;0,2;>15;0,05;38,1;3,9;19;<5;12,3;1,76;9,2;1,76;<0.02;0,76;20,4;26;0,18;0,54;0,02;0,64;0,13;5,4;17,2;665;10,2;91,5;<0.1;0,03;0,27;8,9;<2;2,3;57,4;0,52;0,38;0,06;6,4;0,13;0,42;0,9;26;0,9;9,8;1,1;24;47,2
MR-S-6732;GIJ918;SEDIMENTO CORRENTE;1505;1065;155;910;155;150;96,77;1;0,67;0,05;1,48;2;239;0,6;0,09;>15;0,03;27,83;4,3;10;<5;6,5;1,04;4,3;0,91;<0.02;0,21;15,3;12;0,11;0,12;0,04;0,42;0,08;2,6;13,3;385;8;32,5;<0.1;0,09;0,21;4;<2;2;661;0,14;0,26;<0.05;3,8;0,07;0,21;1;16;0,5;7,5;0,8;17;26,4
MR-S-6733;GIJ919;SEDIMENTO CORRENTE;1885;1580;215;1350;N.A.;N.A.;N.A.;N.A.;N.A.;0,08;1,75;4;91;0,7;0,19;0,14;0,02;32,23;3,8;22;<5;10,2;2,04;5,2;1,78;<0.02;0,37;17,1;15;0,18;0,12;0,02;0,76;0,06;5,1;8,3;132;11,3;40,8;<0.1;<0.01;0,38;3,9;<2;1,7;10,3;0,35;0,33;0,07;6,1;0,14;0,21;1,1;28;0,9;8,8;1,1;14;56
MR-S-6734;GIJ920;SEDIMENTO CORRENTE;1610;1380;205;1150;N.A.;N.A.;N.A.;N.A.;N.A.;0,08;4,11;13;120;1,2;0,24;0,18;0,03;64,81;12,3;22;7;15;2,85;12;2,46;<0.02;0,19;32,7;46;0,27;0,19;0,1;0,6;0,08;11,2;15,8;270;23,2;40,5;<0.1;0,01;0,95;10,9;<2;2,4;10,5;0,66;0,64;0,1;9,7;0,32;0,4;1,2;56;3,1;18,3;1,8;22;80,1
MR-S-6735;GIJ921;SEDIMENTO CORRENTE;1505;1225;85;1130;N.A.;N.A.;N.A.;N.A.;N.A.;0,06;3,46;6;216;0,9;0,21;0,49;0,09;70,06;12,4;27;<5;20,7;3,43;8,7;2,55;<0.02;0,77;36,1;26;0,29;0,28;0,13;1,01;0,08;10,6;12,2;796;19,8;72,7;<0.1;0,03;0,7;8,6;<2;2,2;30,7;0,58;0,73;0,06;9,4;0,39;0,42;2,2;52;1,6;20,9;1,9;41;100
MR-S-6736;GIJ922;SEDIMENTO CORRENTE;1370;965;175;780;N.A.;N.A.;N.A.;N.A.;N.A.;0,12;3,3;8;173;1,2;0,2;0,87;0,1;56,83;10,4;18;6;20,5;2,56;9,5;1,89;<0.02;0,21;33,6;37;0,24;0,2;0,13;0,54;0,06;9,4;14,2;688;19,9;58,4;<0.1;0,04;0,75;8,7;<2;3,8;21,9;0,63;0,61;0,05;8,1;0,24;0,42;1;38;3,4;17,8;1,7;58;60,6
MR-S-6737;GIJ923;SEDIMENTO CORRENTE;1580;1390;65;1325;N.A.;N.A.;N.A.;N.A.;N.A.;0,13;4,84;9;82;1,4;0,3;0,37;0,03;76,41;8,8;39;6;20,3;3,53;14,2;3;0,08;0,24;39,8;39;0,34;0,16;0,02;0,75;0,09;11,2;17,4;288;21,2;41,6;<0.1;0,01;0,65;12,2;<2;3,2;47,2;0,52;0,83;0,07;12,8;0,33;0,47;1,7;67;2;23,6;2,4;31;90,1
MR-S-6738;GIJ924;SEDIMENTO CORRENTE;1325;1175;245;915;N.A.;N.A.;N.A.;N.A.;N.A.;0,04;1,03;3;22;0,2;0,06;0,08;<0.02;8,97;1,5;7;<5;3,5;1,23;2,8;0,53;<0.02;0,03;4,7;9;0,04;0,04;0,02;0,33;0,02;2,4;4;182;5,7;6,8;<0.1;<0.01;0,38;1,8;<2;1,2;5,3;0,12;0,07;<0.05;1,7;0,06;0,08;0,3;14;2,1;2,1;0,2;13;16
