;;MDL;0;0;0;0;0;0;0;0;0;0,02;0,01;1;5;0,1;0,04;0,01;0,02;0,05;0,1;1;5;0,5;0,01;0,1;0,02;0,02;0,01;0,1;1;0,01;0,01;0,01;0,05;0,01;0,1;0,5;50;0,5;0,2;0,1;0,01;0,05;0,5;2;0,3;0,5;0,05;0,05;0,05;0,2;0,01;0,02;0,1;1;0,1;0,1;0,1;1;0,5
MR-S-6679;GIJ871;SEDIMENTO CORRENTE;1445;1400;170;1215;N.A.;N.A.;N.A.;N.A.;N.A.;0,08;3,08;7;102;0,9;0,13;>15;<0.02;42,62;6,7;18;<5;11,7;1,87;8;1,74;0,02;0,42;22,3;29;0,18;0,64;0,04;0,5;0,08;6,4;19,9;214;12,7;74,5;<0.1;0,03;0,57;8,6;<2;1,9;33;0,44;0,45;0,05;6,9;0,16;0,29;0,8;36;0,9;14,1;1,3;15;56,5
MR-S-6681;GIJ872;SEDIMENTO CORRENTE;2970;2365;70;2290;N.A.;N.A.;N.A.;N.A.;N.A.;0,11;4,46;2;1572;0,9;0,1;10,02;<0.02;66,84;8,6;11;<5;17,1;3,32;11,6;3,44;0,03;1,32;31,3;9;0,77;0,76;0,09;1,8;1,42;20,6;16;1494;11,4;61;<0.1;0,02;0,15;15,1;<2;3,6;335;0,89;1,33;<0.05;7,8;0,65;0,13;1,6;84;0,5;49,6;5,3;30;109
MR-S-6682;GIJ873;SEDIMENTO CORRENTE;2995;2470;175;2285;N.A.;N.A.;N.A.;N.A.;N.A.;0,05;6,81;<1;1128;1;<0.04;3,49;<0.02;47,52;6,3;43;<5;7,4;2,46;10,7;1,48;<0.02;2,09;20,4;7;0,17;0,96;0,07;0,15;2,4;5,4;15,8;538;11,2;59,9;<0.1;<0.01;0,09;9,5;<2;1,2;363;0,34;0,34;<0.05;4,3;0,23;0,13;0,5;50;0,1;11,3;1,2;29;64,4
MR-S-6683;GIJ874;SEDIMENTO CORRENTE;2280;1805;260;1530;N.A.;N.A.;N.A.;N.A.;N.A.;0,09;4,74;<1;442;0,8;0,08;7,91;0,06;43,74;8,7;41;<5;19,7;3,4;11,4;2,21;0,04;0,87;21,6;8;0,49;0,64;0,05;0,7;1,47;12,6;24,7;487;9,6;39,9;<0.1;0,01;0,15;15,7;<2;2,6;295;0,79;0,98;<0.05;4,3;0,64;0,11;0,8;94;0,5;34,8;3,6;36;68,5
MR-S-6684;GIJ875;SEDIMENTO CORRENTE;2445;1920;205;1695;205;200;97,56;1;0,5;0,06;6,75;2;1048;1,4;0,07;4,3;0,04;77,61;10,4;9;<5;18,3;3,16;16,5;1,82;<0.02;1,63;38;15;0,35;0,9;0,1;0,62;2,05;10,5;11,1;827;14,5;81,9;<0.1;0,02;0,11;15,7;<2;2,4;381;0,57;0,68;<0.05;6,8;0,39;0,23;1;63;0,3;23,3;2,4;54;59,5
MR-S-6685;GIJ876;SEDIMENTO CORRENTE;2170;2115;175;1925;N.A.;N.A.;N.A.;N.A.;N.A.;0,09;4,37;10;61;1,3;0,2;0,3;<0.02;43,73;7,4;24;<5;14,5;2,51;11,6;2,22;0,02;0,19;21,2;31;0,2;0,18;0,03;0,41;0,1;7,8;14,7;156;15,4;28,3;<0.1;<0.01;0,79;9,6;<2;2,1;10,6;0,55;0,49;0,06;7,6;0,24;0,28;0,9;53;1,3;12,7;1,4;18;66,5
MR-S-6686;GIJ877;SEDIMENTO CORRENTE;2050;1990;110;1870;N.A.;N.A.;N.A.;N.A.;N.A.;0,07;1,77;5;60;0,6;0,13;0,1;<0.02;34,26;5,9;16;<5;9,4;1,83;5,6;1,32;<0.02;0,28;15;18;0,13;0,12;0,03;0,26;0,04;5,3;7,9;121;11;45,2;<0.1;<0.01;1,24;5,1;<2;1,3;6,8;0,34;0,32;0,05;5,1;0,16;0,2;0,9;31;0,8;9,9;1;12;42,3
MR-S-6687;GIJ878;SEDIMENTO CORRENTE;1875;1790;115;1660;N.A.;N.A.;N.A.;N.A.;N.A.;0,1;5,55;14;1700;1,8;0,29;0,5;<0.02;62,03;14,6;33;8;24,9;3,91;16,9;2,91;0,07;0,15;28,5;49;0,25;0,23;0,06;2,27;0,56;14;21;452;28,5;24,1;<0.1;0,03;1,82;14,3;<2;3,2;20,5;0,84;0,59;0,15;11,4;0,41;0,37;1,7;78;2,3;16,2;1,7;22;106
MR-S-6688;GIJ879;SEDIMENTO CORRENTE;1680;1560;240;1305;N.A.;N.A.;N.A.;N.A.;N.A.;0,06;4,16;8;1094;1,8;0,19;0,72;<0.02;54,48;12,2;32;<5;19,5;2,8;10,7;2,36;<0.02;0,28;29,3;36;0,25;0,32;0,14;1,34;0,35;9,3;16,7;605;32,2;52,9;<0.1;0,03;0,91;10,2;<2;2,3;17,1;0,48;0,62;<0.05;8,4;0,3;0,4;1,4;56;1,3;21;1,7;38;84,2
MR-S-6689;GIJ880;SEDIMENTO CORRENTE;1330;1225;215;1000;N.A.;N.A.;N.A.;N.A.;N.A.;0,06;4,36;7;128;1,4;0,2;0,58;0,03;45,98;8,2;34;<5;15,3;2,63;11,4;2,19;0,06;0,64;25,2;35;0,21;0,37;0,07;0,27;0,08;8,5;16,7;627;21,6;104;<0.1;0,02;0,87;9,3;<2;2,3;11,8;0,69;0,51;<0.05;8,1;0,25;0,41;1,6;53;1,3;17,7;1,6;28;75,1
MR-S-6691;GIJ881;SEDIMENTO CORRENTE;2350;2305;45;2250;N.A.;N.A.;N.A.;N.A.;N.A.;0,04;1,95;3;67;0,7;0,1;1,24;<0.02;31,16;5,6;19;<5;8,8;2,05;4,6;1,07;<0.02;0,13;14,4;15;0,11;0,16;0,05;0,16;0,04;3,9;7,8;162;13,7;26,6;<0.1;0,01;0,42;3,2;<2;1,1;65,3;0,22;0,27;<0.05;4,1;0,14;0,15;0,5;30;0,5;8,5;0,8;20;41,5
MR-S-6692;GIJ882;SEDIMENTO CORRENTE;2075;2005;75;1920;N.A.;N.A.;N.A.;N.A.;N.A.;0,08;2,04;3;75;0,8;0,11;2,16;0,04;35,55;7,6;19;<5;13,2;2,17;5,6;1,22;<0.02;0,16;17,4;15;0,13;0,19;0,07;0,8;0,05;4,4;11,1;264;14,9;33,9;<0.1;0,02;0,4;3,8;<2;1,5;115;0,26;0,33;<0.05;4,7;0,14;0,2;0,7;25;0,6;10,2;1;25;41,7
